0	7	9	1071	S
0	2	6	366	S
0	1	7	611	S
0	0	6	2856	S
0	4	9	111	S
0	9	8	81	S
0	5	6	101	S
0	6	8	741	S
0	3	8	11	S
0	8	2	291	S
1	1	7	1246	S
1	4	8	56	S
1	9	8	256	S
1	0	2	1801	S
1	5	3	71	S
1	7	9	1031	S
1	6	5	201	S
1	3	5	1191	S
1	2	3	2681	S
1	8	3	2661	S
2	9	8	261	S
2	0	9	3411	S
2	1	4	5266	S
2	4	7	466	S
2	6	0	1971	S
2	5	3	831	S
2	7	2	1311	S
2	3	8	1201	S
2	2	1	41	S
2	8	3	546	S
3	9	4	1211	S
3	4	9	621	S
3	0	6	3041	S
3	1	4	471	S
3	7	2	1366	S
3	2	1	71	S
3	3	5	826	S
3	5	8	226	S
3	6	5	976	S
3	8	3	711	S
4	9	7	96	S
4	4	9	2576	S
4	0	0	10001	B
4	1	4	966	S
4	7	2	456	S
4	2	8	471	S
4	3	2	1396	S
4	5	9	3766	S
4	6	8	1876	S
4	8	2	1211	S
5	4	6	486	S
5	1	4	2121	S
5	7	2	186	S
5	5	9	241	S
5	0	7	1931	S
5	9	4	256	S
5	3	8	146	S
5	6	0	341	S
5	2	3	1146	S
5	8	3	1866	S
6	1	8	771	S
6	4	9	331	S
6	5	9	386	S
6	7	9	401	S
6	9	8	16	S
6	3	8	1361	S
6	0	9	3586	S
6	2	3	656	S
6	6	0	1061	S
6	8	0	286	S
7	1	4	266	S
7	4	9	486	S
7	7	3	2101	S
7	0	0	10001	B
7	9	8	56	S
7	3	8	466	S
7	2	7	3376	S
7	6	4	661	S
7	5	3	491	S
7	8	2	821	S
8	1	4	756	S
8	4	9	301	S
8	7	9	311	S
8	9	8	36	S
8	3	7	596	S
8	6	3	726	S
8	0	6	1591	S
8	2	7	1336	S
8	5	3	1001	S
8	8	6	4866	S
9	4	8	1121	S
9	1	7	911	S
9	7	4	716	S
9	3	5	921	S
9	9	4	36	S
9	6	0	1071	S
9	2	9	231	S
9	0	9	1271	S
9	5	8	701	S
9	8	3	66	S
10	4	9	96	S
10	1	8	611	S
10	7	3	721	S
10	3	5	401	S
10	9	4	656	S
10	6	8	211	S
10	5	3	781	S
10	0	6	2431	S
10	2	8	3661	S
10	8	1	636	S
11	4	9	201	S
11	7	4	321	S
11	1	8	396	S
11	9	8	236	S
11	3	8	646	S
11	6	3	1411	S
11	5	3	201	S
11	0	6	1561	S
11	2	8	6	S
11	8	5	296	S
12	7	9	871	S
12	4	9	1286	S
12	1	8	851	S
12	9	8	251	S
12	6	8	1426	S
12	3	8	426	S
12	5	8	321	S
12	0	9	2626	S
12	2	8	681	S
12	8	3	201	S
13	7	2	1031	S
13	4	6	281	S
13	1	4	436	S
13	9	4	156	S
13	6	8	2031	S
13	5	8	206	S
13	3	0	186	S
13	2	8	921	S
13	0	0	10001	B
13	8	0	726	S
14	7	8	306	S
14	4	2	3061	S
14	1	8	296	S
14	9	8	801	S
14	6	0	8101	S
14	5	9	646	S
14	3	8	441	S
14	2	3	606	S
14	0	7	8611	S
14	8	6	386	S
15	4	7	816	S
15	7	1	121	S
15	9	7	56	S
15	1	8	2206	S
15	6	8	941	S
15	5	8	3696	S
15	0	2	2596	S
15	3	8	26	S
15	2	3	291	S
15	8	2	956	S
16	7	2	156	S
16	4	9	6	S
16	9	4	21	S
16	1	8	831	S
16	6	4	596	S
16	5	9	421	S
16	0	7	1011	S
16	3	8	626	S
16	2	7	2556	S
16	8	0	6	S
17	4	8	361	S
17	7	9	411	S
17	1	4	1836	S
17	9	4	381	S
17	6	0	7526	S
17	5	3	46	S
17	3	8	646	S
17	0	7	681	S
17	2	8	266	S
17	8	3	491	S
18	4	9	451	S
18	7	4	6	S
18	1	4	471	S
18	9	8	6	S
18	6	4	481	S
18	5	8	56	S
18	3	9	806	S
18	2	8	591	S
18	0	6	4866	S
18	8	2	761	S
19	4	8	266	S
19	7	2	971	S
19	1	4	2016	S
19	9	4	206	S
19	5	3	106	S
19	6	5	3031	S
19	3	2	2906	S
19	2	3	401	S
19	0	9	2446	S
19	8	4	286	S
20	4	8	166	S
20	7	9	501	S
20	1	8	791	S
20	9	8	36	S
20	6	0	2911	S
20	5	8	486	S
20	3	5	331	S
20	2	7	2911	S
20	0	9	6611	S
20	8	2	2381	S
21	7	3	406	S
21	4	9	216	S
21	1	4	606	S
21	9	4	131	S
21	5	8	146	S
21	6	8	316	S
21	3	8	211	S
21	2	1	816	S
21	0	7	2861	S
21	8	2	311	S
22	4	8	86	S
22	7	3	286	S
22	1	4	4231	S
22	9	4	166	S
22	5	8	421	S
22	2	8	66	S
22	3	5	436	S
22	6	0	6	S
22	0	0	10001	B
22	8	5	1686	S
23	4	9	1236	S
23	7	1	11	S
23	1	4	5661	S
23	9	4	941	S
23	5	3	376	S
23	2	1	391	S
23	3	8	971	S
23	6	8	551	S
23	0	6	541	S
23	8	6	441	S
24	4	1	546	S
24	1	4	476	S
24	9	7	231	S
24	7	9	1111	S
24	5	8	271	S
24	2	1	311	S
24	0	6	1201	S
24	3	8	1051	S
24	6	5	981	S
24	8	2	1476	S
25	4	8	2071	S
25	1	8	631	S
25	7	2	1056	S
25	9	8	156	S
25	5	3	496	S
25	2	0	1796	S
25	3	8	261	S
25	0	9	1496	S
25	6	5	406	S
25	8	2	851	S
26	4	9	946	S
26	1	4	271	S
26	7	3	196	S
26	9	8	86	S
26	5	8	266	S
26	2	8	261	S
26	0	9	2581	S
26	3	5	251	S
26	6	5	111	S
26	8	2	551	S
27	1	4	2586	S
27	4	8	1326	S
27	7	2	466	S
27	9	4	411	S
27	2	8	521	S
27	5	8	606	S
27	3	8	741	S
27	0	8	226	S
27	6	0	131	S
27	8	2	936	S
28	1	8	731	S
28	4	9	276	S
28	7	2	1436	S
28	9	4	26	S
28	2	3	1711	S
28	5	8	86	S
28	0	9	2026	S
28	3	9	711	S
28	6	8	3886	S
28	8	9	1066	S
29	1	8	706	S
29	4	8	246	S
29	7	3	271	S
29	9	8	166	S
29	2	8	321	S
29	5	3	111	S
29	3	8	181	S
29	0	2	6816	S
29	6	0	351	S
29	8	2	9936	S
30	1	7	751	S
30	4	9	866	S
30	7	2	211	S
30	9	3	371	S
30	2	8	536	S
30	5	8	326	S
30	3	5	916	S
30	0	7	1691	S
30	6	8	266	S
30	8	2	196	S
31	1	8	436	S
31	4	6	181	S
31	7	9	311	S
31	9	4	536	S
31	2	8	221	S
31	5	8	11	S
31	3	9	256	S
31	0	6	511	S
31	6	6	10001	B
31	8	9	31	S
32	1	7	1451	S
32	4	9	731	S
32	7	1	1126	S
32	9	4	751	S
32	2	8	71	S
32	5	3	6	S
32	3	5	321	S
32	0	6	606	S
32	6	5	206	S
32	8	2	551	S
33	1	4	3841	S
33	4	9	936	S
33	7	1	91	S
33	9	4	176	S
33	2	1	831	S
33	5	3	236	S
33	3	7	456	S
33	6	5	2056	S
33	0	0	10001	B
33	8	3	2251	S
34	1	4	936	S
34	4	9	391	S
34	7	2	796	S
34	9	3	241	S
34	2	3	21	S
34	5	8	1031	S
34	3	5	581	S
34	0	6	1901	S
34	6	5	651	S
34	8	3	661	S
35	1	1	10001	B
35	4	9	941	S
35	7	3	201	S
35	9	8	6	S
35	2	7	16	S
35	5	3	371	S
35	3	8	741	S
35	0	0	10001	B
35	6	0	6	S
35	8	1	1506	S
36	1	4	4161	S
36	4	9	2206	S
36	9	4	226	S
36	2	1	11	S
36	7	3	216	S
36	5	3	1681	S
36	3	8	371	S
36	0	6	851	S
36	6	8	401	S
36	8	2	736	S
37	1	8	1981	S
37	4	6	111	S
37	2	8	541	S
37	9	4	91	S
37	7	9	56	S
37	5	8	1676	S
37	3	8	836	S
37	0	5	961	S
37	6	8	131	S
37	8	3	491	S
38	1	4	2996	S
38	4	8	916	S
38	7	1	216	S
38	9	4	36	S
38	2	7	506	S
38	5	8	221	S
38	3	5	1861	S
38	0	9	916	S
38	6	4	1626	S
38	8	3	1791	S
39	1	4	6336	S
39	4	8	451	S
39	2	1	266	S
39	7	9	1816	S
39	5	8	766	S
39	9	4	126	S
39	3	5	21	S
39	6	8	371	S
39	0	9	1441	S
39	8	2	6	S
40	1	8	286	S
40	4	8	236	S
40	2	1	631	S
40	7	3	411	S
40	9	7	21	S
40	5	3	531	S
40	3	5	71	S
40	6	0	8116	S
40	0	4	131	S
40	8	1	201	S
41	1	8	471	S
41	4	9	1531	S
41	2	3	411	S
41	5	3	141	S
41	7	9	1406	S
41	9	8	391	S
41	3	8	1351	S
41	6	0	1211	S
41	0	7	641	S
41	8	3	1816	S
42	1	4	1656	S
42	4	9	371	S
42	2	0	541	S
42	5	6	36	S
42	7	1	186	S
42	9	4	6	S
42	3	8	1041	S
42	6	8	71	S
42	0	6	4031	S
42	8	1	391	S
43	1	4	1321	S
43	4	7	1471	S
43	2	7	766	S
43	5	3	11	S
43	7	9	511	S
43	9	4	231	S
43	3	7	406	S
43	6	5	171	S
43	8	4	211	S
43	0	9	606	S
44	1	4	2166	S
44	4	8	866	S
44	2	0	51	S
44	7	9	156	S
44	9	4	101	S
44	5	3	151	S
44	3	8	3021	S
44	6	0	951	S
44	8	4	446	S
44	0	6	4231	S
45	1	1	10001	B
45	4	9	1176	S
45	2	7	126	S
45	9	3	441	S
45	7	2	1256	S
45	5	8	21	S
45	3	5	6091	S
45	6	4	3166	S
45	0	5	296	S
45	8	5	906	S
46	1	4	1166	S
46	4	9	2426	S
46	2	7	1501	S
46	9	8	6	S
46	7	3	241	S
46	5	8	126	S
46	3	8	471	S
46	6	8	611	S
46	0	9	1711	S
46	8	2	281	S
47	1	4	2451	S
47	4	8	86	S
47	2	0	206	S
47	9	8	601	S
47	5	8	186	S
47	7	9	831	S
47	3	8	161	S
47	6	4	706	S
47	0	6	2951	S
47	8	2	451	S
48	1	4	1781	S
48	2	1	2821	S
48	4	6	391	S
48	9	7	26	S
48	5	8	366	S
48	7	2	5701	S
48	3	8	181	S
48	6	8	326	S
48	0	2	556	S
48	8	9	1186	S
49	1	4	1071	S
49	4	1	561	S
49	2	8	111	S
49	9	8	86	S
49	5	9	586	S
49	7	3	411	S
49	3	8	221	S
49	6	8	356	S
49	0	6	1901	S
49	8	2	31	S
50	1	8	626	S
50	4	8	521	S
50	2	1	726	S
50	9	4	236	S
50	5	3	326	S
50	7	3	71	S
50	3	5	356	S
50	0	6	1031	S
50	6	3	1751	S
50	8	1	366	S
51	1	4	746	S
51	4	9	166	S
51	2	1	281	S
51	9	4	136	S
51	5	3	816	S
51	3	8	201	S
51	7	9	11	S
51	0	9	3416	S
51	6	8	481	S
51	8	2	1121	S
52	1	8	726	S
52	2	3	306	S
52	4	9	331	S
52	9	8	96	S
52	5	8	506	S
52	3	5	726	S
52	7	8	6	S
52	0	6	546	S
52	6	8	776	S
52	8	1	461	S
53	1	4	806	S
53	2	3	586	S
53	4	8	461	S
53	9	4	236	S
53	5	8	1611	S
53	3	5	776	S
53	7	4	256	S
53	6	8	3911	S
53	8	5	766	S
53	0	9	2721	S
54	1	4	786	S
54	2	8	11	S
54	4	8	116	S
54	9	4	3926	S
54	7	2	176	S
54	3	4	291	S
54	5	8	771	S
54	8	3	476	S
54	6	8	3731	S
54	0	6	411	S
55	1	7	1806	S
55	2	3	4776	S
55	4	1	6	S
55	9	4	36	S
55	3	5	2271	S
55	7	9	1846	S
55	5	3	316	S
55	0	6	956	S
55	8	6	941	S
55	6	5	6281	S
56	1	4	2891	S
56	2	3	756	S
56	4	1	316	S
56	9	4	101	S
56	3	8	536	S
56	7	2	2396	S
56	5	8	1011	S
56	6	4	6	S
56	8	3	1526	S
56	0	6	1406	S
57	1	8	646	S
57	2	8	2671	S
57	4	9	176	S
57	9	8	591	S
57	3	8	1321	S
57	7	9	21	S
57	5	9	391	S
57	8	3	1176	S
57	0	0	10001	B
57	6	5	706	S
58	1	8	3206	S
58	2	4	541	S
58	4	9	1706	S
58	9	8	266	S
58	3	8	1686	S
58	7	2	326	S
58	5	8	721	S
58	8	3	496	S
58	0	0	10001	B
58	6	6	10001	B
59	1	4	2321	S
59	4	9	506	S
59	2	1	156	S
59	9	8	231	S
59	3	8	231	S
59	7	3	996	S
59	5	3	106	S
59	0	6	536	S
59	8	2	911	S
59	6	4	1816	S
60	1	4	2376	S
60	2	3	976	S
60	4	9	711	S
60	9	4	171	S
60	3	8	1961	S
60	7	9	216	S
60	5	8	86	S
60	8	2	416	S
60	6	5	396	S
60	0	9	1656	S
61	1	8	511	S
61	4	7	1891	S
61	2	8	61	S
61	9	8	91	S
61	3	8	166	S
61	7	9	186	S
61	5	3	6	S
61	8	4	151	S
61	0	2	931	S
61	6	0	4306	S
62	1	2	786	S
62	2	0	546	S
62	4	7	421	S
62	9	4	281	S
62	3	8	251	S
62	7	9	1041	S
62	5	8	271	S
62	8	9	891	S
62	0	2	976	S
62	6	8	426	S
63	1	4	551	S
63	4	9	626	S
63	2	3	11	S
63	9	8	211	S
63	3	8	246	S
63	7	4	51	S
63	5	8	186	S
63	8	2	1126	S
63	0	6	66	S
63	6	0	7706	S
64	1	4	1191	S
64	4	8	1186	S
64	2	8	1456	S
64	9	5	371	S
64	3	8	261	S
64	7	1	296	S
64	5	3	771	S
64	8	5	1546	S
64	0	9	1326	S
64	6	0	436	S
65	1	8	311	S
65	4	9	76	S
65	2	3	971	S
65	9	8	266	S
65	3	8	496	S
65	7	1	61	S
65	5	3	451	S
65	8	2	576	S
65	0	4	101	S
65	6	3	641	S
66	1	7	846	S
66	4	8	406	S
66	2	8	11	S
66	9	8	176	S
66	3	8	746	S
66	7	2	756	S
66	5	8	6	S
66	0	0	10001	B
66	8	6	516	S
66	6	8	671	S
